uid,user_id,agreement
3,246499537,1
4,171819072,1
5,352194719,1
6,476664336,1
7,476989341,1
8,476989341,1
9,205777930,1
10,406362465,1
11,351777236,1
12,91674188,1
13,513410764,1
14,978223762,1
15,56177340,1
16,128033292,1
17,981453658,1
18,368755808,1
19,535574576,1
20,846080729,1
21,862290990,1
22,237641981,1
23,258529532,1
24,666317806,1
25,131499877,1
26,1008866204,1
27,387771457,1
28,350342405,1
29,587159141,1
30,328018728,1
31,359861694,1
32,935489443,1
33,212109959,1
34,701373970,1
35,414684680,1
36,1121248936,1
37,470165646,1
38,146576297,1
39,445214078,1
40,557560051,1
41,777654600,1
42,409827987,1
43,1294574823,1
44,507488639,1
45,285907231,1
46,538491318,1
47,465576427,1
48,122964623,1
49,253730799,1
50,414257618,1
51,287840841,1
52,386012013,1
53,508142151,1
54,416152501,1
55,275650361,1
56,872245833,1
57,516681494,1
58,748162613,1
59,203019604,1
60,487051771,1
61,196802809,1
62,196802809,1
63,865916191,1
64,865916191,1
65,68989745,1
66,153362806,1
67,678926693,1
68,586300367,1
69,586300367,1
70,226837598,1
71,654102731,1
72,654102731,1
73,309851466,1
74,373307423,1
75,40926649,1
76,40926649,1
77,292003585,1
78,418229803,1
79,485691615,1
80,77647504,1
81,442180965,1
82,678926693,1
83,68989745,1
84,68989745,1
85,68989745,1
86,622592224,1
87,622592224,1
88,474282182,1
89,1056976032,1
90,474282182,1
91,686827207,1
92,686827207,1
93,321170041,1
94,321170041,1
95,959485289,1
96,491467441,1
97,917688012,1
98,174467603,1
99,528463601,1
100,104610444,1
101,844599955,1
102,877289393,1
103,839548245,1
104,228347278,1
105,194830682,1
106,395107737,1
107,451435350,1
108,146981727,1
109,641958075,1
110,420112128,1
111,300453276,1
112,1781407,1
113,596082378,1
114,179587477,1
115,1053436981,1
116,381840534,1
117,446397576,1
118,439305746,1
119,345154719,1
120,479439946,1
121,365039738,1
122,909541797,1
123,693296711,1
124,313775551,1
125,533191509,1
126,367950986,1
127,676551297,1
128,163226362,1
129,77003216,1
130,519235483,1
131,1037641099,1
132,432384246,1
133,383863856,1
134,984077061,1
135,417653300,1
136,751366363,1
137,839082481,1
138,281809360,1
139,776259323,1
140,614457548,1
141,378645495,1
142,550686534,1
143,301506244,1
144,324088137,1
145,93927574,1
146,1055813705,1
147,496700452,1
148,486742556,1
149,532174694,1
150,288837550,1
151,594872726,1
152,1177938707,1
153,676565516,1
154,378927832,1
155,308055613,1
156,775242956,1
157,404407459,1
158,916473064,1
159,1011420271,1
160,111456341,1
161,118423384,1
162,341843815,1
163,956729999,1
164,370478918,1
165,469244838,1
166,138160142,1
167,614197041,1
168,542279336,1
169,947129556,1
170,1396378898,1
171,858194523,1
172,466584329,1
173,387861747,1
174,577944721,1
175,183494250,1
176,520055246,1
177,294189422,1
178,568635771,1
179,805772596,1
180,621596306,1
181,87443068,1
182,480637042,1
183,464826567,1
184,816411789,1
185,796173170,1
186,818307852,1
187,201005470,1
188,294074850,1
189,310625849,1
190,366940725,1
191,403093936,1
192,490877912,1
193,1399032392,1
194,69947151,1
195,430860313,1
196,50576919,1
197,53331282,1
198,429792020,1
199,722888406,1
200,1004948576,1
201,916249734,1
202,696296851,1
203,638234108,1
204,470029759,1
205,384873447,1
206,460962079,1
207,592814757,1
208,485250257,1
209,392517188,1
210,692126887,1
211,425975361,1
212,238741368,1
213,839029372,1
214,319816928,1
215,329479228,1
216,969093505,1
217,479594870,1
218,571610980,1
219,57627452,1
220,534079238,1
221,990349015,1
222,951901623,1
223,1156557701,1
224,539128037,1
225,1028274290,1
226,557337548,1
227,646415753,1
228,541841572,1
229,515603017,1
230,471655856,1
231,341605488,1
232,145217776,1
233,466891969,1
234,867116698,1
235,507292732,1
236,223032864,1
237,1316952138,1
238,575563849,1
239,251859318,1
240,517559063,1
241,467368627,1
242,813759043,1
243,212996601,1
244,1139257030,1
245,463833440,1
246,223757849,1
247,316470507,1
248,115223462,1
249,266919263,1
250,317780038,1
251,542235751,1
252,125873660,1
253,350544319,1
254,274938501,1
255,389625861,1
256,943770398,1
257,942522554,1
258,191610232,1
259,964928968,1
260,212419658,1
261,225364683,1
262,989330855,1
263,556621236,1
264,840022330,1
265,701600660,1
266,1222056485,1
267,537216617,1
268,1076570937,1
269,1266040012,1
270,336359802,1
271,136980046,1
272,602193853,1
273,674256522,1
274,999949035,1
275,483265225,1
276,427876904,1
277,992479278,1
278,875786634,1
279,279302137,1
280,343466139,1
281,941864181,1
282,181141462,1
283,401062665,1
284,470047002,1
285,873922027,1
286,226107993,1
287,772132682,1
288,200617850,1
289,900929160,1
290,824907881,1
291,295275427,1
292,1044272458,1
293,433938106,1
294,792130550,1
295,421554941,1
296,246499537,1
297,351364971,1
298,1333841757,1
299,486075357,1
300,658120926,1
301,94868005,1
302,166950019,1
303,237599707,1
304,401025539,1
305,761307795,1
306,1074325754,1
307,357388544,1
308,591909496,1
309,937604990,1
310,967115975,1
311,354073222,1
312,570626575,1
313,335017197,1
314,517591527,1
315,113570042,1
316,475375895,1
317,699377489,1
318,683205881,1
319,143097842,1
320,202400395,1
321,427818020,1
322,831174829,1
323,1246732577,1
324,1345119293,1
325,370436365,1
326,626302407,1
327,409271868,1
328,138843865,1
329,335587712,1
330,926109668,1
331,184425611,1
332,318561523,1
333,402636371,1
334,164947215,1
335,872631917,1
336,1337927866,1
337,831700831,1
338,931264411,1
339,1287954406,1
340,356271521,1
341,159028329,1
342,364140207,1
343,676701658,1
344,389645943,1
345,287918193,1
346,462057575,1
347,637655277,1
348,716272417,1
349,348292483,1
350,1133886142,1
351,876865499,1
352,488343764,1
353,807110574,1
354,1131595559,1
355,443739559,1
356,210465222,1
357,87140574,1
358,977124464,1
359,1262980283,1
360,1084573633,1
361,831936289,1
362,789173186,1
363,513257877,1
364,1176730907,1
365,1007600096,1
366,87571882,1
367,1286231464,1
